,Reaction,Total Sens,Sens Type
247,[O][O] + 2 [Pt] <=> 2 O=[Pt],353.4101350341904,FullOxSelec
248,[O][O] + 2 [Pt] <=> 2 O=[Pt],767.4433556226571,FullOxYield
249,[O][O] + 2 [Pt] <=> 2 O=[Pt],64.1921752299723,ExitT
250,[O][O] + 2 [Pt] <=> 2 O=[Pt],51.084196519421944,MaxT
251,[O][O] + 2 [Pt] <=> 2 O=[Pt],849.026224526872,DistToMaxT
252,[O][O] + 2 [Pt] <=> 2 O=[Pt],680.3441593549078,O2Conv
253,[O][O] + 2 [Pt] <=> 2 O=[Pt],1144.6567909606274,MaxRateCH4Conv
254,[O][O] + 2 [Pt] <=> 2 O=[Pt],2411.7707701212535,DistTo50CH4Conv
255,[C-]#[O+] + [Pt] <=> O=C=[Pt],36.783832076054274,SynGasSelec
256,[C-]#[O+] + [Pt] <=> O=C=[Pt],41.479953989809204,SynGasYield
257,[C-]#[O+] + [Pt] <=> O=C=[Pt],38.269749363398425,COSelec
258,[C-]#[O+] + [Pt] <=> O=C=[Pt],39.835454641758844,COYield
259,[C-]#[O+] + [Pt] <=> O=C=[Pt],39.26534437819439,H2Selec
260,[C-]#[O+] + [Pt] <=> O=C=[Pt],46.36372159083977,H2Yield
261,[C-]#[O+] + [Pt] <=> O=C=[Pt],15.464704699418162,CH4Conv
262,[C-]#[O+] + [Pt] <=> O=C=[Pt],31.755057234976924,FullOxSelec
263,[C-]#[O+] + [Pt] <=> O=C=[Pt],26.762310047840657,FullOxYield
264,[C-]#[O+] + [Pt] <=> O=C=[Pt],6.440228976762135,ExitT
265,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.7217595824712729,MaxT
266,[C-]#[O+] + [Pt] <=> O=C=[Pt],383.9745516610774,DistToMaxT
267,[C-]#[O+] + [Pt] <=> O=C=[Pt],4.459243887084339,O2Conv
268,[C-]#[O+] + [Pt] <=> O=C=[Pt],41.37962739503621,MaxRateCH4Conv
269,[C-]#[O+] + [Pt] <=> O=C=[Pt],22.092180935416575,DistTo50CH4Conv
270,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],9.579409602456815,SynGasSelec
271,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],23.98295557387382,SynGasYield
272,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],9.10054049395597,COSelec
273,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],21.731577966550038,COYield
274,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],12.56823010489619,H2Selec
275,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],25.999432948402806,H2Yield
276,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],13.99707272567281,CH4Conv
277,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],38.88758513414466,FullOxSelec
278,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],25.627786399790082,FullOxYield
279,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],7.730772956792934,ExitT
280,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],0.7314516193908844,MaxT
281,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],189.68684147807792,DistToMaxT
282,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.3305026757643843,O2Conv
283,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],7.095395345335659,MaxRateCH4Conv
284,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],21.583847311392457,DistTo50CH4Conv
285,O + 2 [Pt] <=> [Pt] + O[Pt],146.0570978214971,SynGasSelec
286,O + 2 [Pt] <=> [Pt] + O[Pt],131.9402565058393,SynGasYield
287,O + 2 [Pt] <=> [Pt] + O[Pt],174.7140811245996,COSelec
288,O + 2 [Pt] <=> [Pt] + O[Pt],155.872726291098,COYield
289,O + 2 [Pt] <=> [Pt] + O[Pt],136.987790054958,H2Selec
290,O + 2 [Pt] <=> [Pt] + O[Pt],122.78783677332068,H2Yield
291,O + 2 [Pt] <=> [Pt] + O[Pt],31.212278543212143,CH4Conv
292,O + 2 [Pt] <=> [Pt] + O[Pt],58.05211491765631,FullOxSelec
293,O + 2 [Pt] <=> [Pt] + O[Pt],62.85064438410302,FullOxYield
294,O + 2 [Pt] <=> [Pt] + O[Pt],12.24667048049254,ExitT
295,O + 2 [Pt] <=> [Pt] + O[Pt],1.2708231807164696,MaxT
296,O + 2 [Pt] <=> [Pt] + O[Pt],548.8871800805501,DistToMaxT
297,O + 2 [Pt] <=> [Pt] + O[Pt],7.833639527667406,O2Conv
298,O + 2 [Pt] <=> [Pt] + O[Pt],10.263628125510891,MaxRateCH4Conv
299,O + 2 [Pt] <=> [Pt] + O[Pt],60.21758590779947,DistTo50CH4Conv
300,[H][H] + [Pt] <=> [H][H].[Pt],6.243691232086883,SynGasSelec
301,[H][H] + [Pt] <=> [H][H].[Pt],13.409005876056044,SynGasYield
302,[H][H] + [Pt] <=> [H][H].[Pt],8.362535400784854,COSelec
303,[H][H] + [Pt] <=> [H][H].[Pt],12.529890519216309,COYield
304,[H][H] + [Pt] <=> [H][H].[Pt],7.164483334006644,H2Selec
305,[H][H] + [Pt] <=> [H][H].[Pt],15.994140508379122,H2Yield
306,[H][H] + [Pt] <=> [H][H].[Pt],10.322913593304829,CH4Conv
307,[H][H] + [Pt] <=> [H][H].[Pt],15.364653224356479,FullOxSelec
